Names,Totals
Emma,18688
Olivia,36609
Ava,51533
Isabella,65997
Sophia,79925
Charlotte,92865
Mia,105507
Amelia,117808
Harper,128390
Evelyn,138766
Abigail,148562
Emily,157218
Elizabeth,165731
Mila,173857
Ella,181912
Avery,189965
Sofia,197586
Camila,205059
Aria,212453
Scarlett,219635
Victoria,226724
Madison,233760
Luna,240657
Grace,247381
Chloe,254007
Penelope,260481
Layla,266949
Riley,272925
Zoey,278824
Nora,284623
Lily,290329
Eleanor,296023
Hannah,301652
Lillian,307186
Addison,312389
Aubrey,317579
Ellie,322769
Stella,327890
Natalie,332985
Zoe,338047
Leah,343042
Hazel,347958
Violet,352752
Aurora,357537
Savannah,362282
Audrey,366944
Brooklyn,371555
Bella,376073
Claire,380452
Skylar,384830
Lucy,389184
Paisley,393517
Everly,397830
Anna,401975
Caroline,406111
Nova,410235
Genesis,414303
Emilia,418323
Kennedy,422247
Samantha,426144
Maya,430026
Willow,433907
Kinsley,437763
Naomi,441584
Aaliyah,445395
Elena,449153
Sarah,452887
Ariana,456602
Allison,460280
Gabriella,463957
Alice,467600
Madelyn,471234
Cora,474808
Ruby,478360
Eva,481902
Serenity,485419
Autumn,488890
Adeline,492353
Hailey,495802
Gianna,499231
Valentina,502647
Isla,506040
Eliana,509413
Quinn,512782
Nevaeh,516141
Ivy,519397
Sadie,522644
Piper,525846
Lydia,529030
Alexa,532083
Josephine,535106
Emery,538099
Julia,541088
Delilah,544070
Arianna,547026
Vivian,549982
Kaylee,552920
Sophie,555849
Brielle,558768
Madeline,561665
Peyton,564561
Rylee,567447
Clara,570324
Hadley,573185
Melanie,576026
Mackenzie,578836
Reagan,581639
Adalynn,584440
Liliana,587213
Aubree,589980
Jade,592653
Katherine,595319
Isabelle,597959
Natalia,600576
Raelynn,603175
Maria,605770
Athena,608352
Ximena,610910
Arya,613455
Leilani,615960
Taylor,618438
Faith,620880
Rose,623312
Kylie,625728
Alexandra,628122
Mary,630449
Margaret,632761
Lyla,635049
Ashley,637316
Amaya,639572
Eliza,641826
Brianna,644061
Bailey,646224
Andrea,648378
Khloe,650514
Jasmine,652647
Melody,654778
Iris,656887
Isabel,658939
Norah,660938
Annabelle,662915
Valeria,664891
Emerson,666826
Adalyn,668756
Ryleigh,670671
Eden,672565
Emersyn,674451
Anastasia,676331
Kayla,678206
Alyssa,680076
Juliana,681918
Charlie,683758
Esther,685589
Ariel,687399
Cecilia,689197
