IMIĘ_DRUGIE,LICZBA_WYSTĄPIEŃ
JAN,846548
PIOTR,674476
STANISŁAW,632621
JÓZEF,571009
ANDRZEJ,488849
PAWEŁ,450547
KRZYSZTOF,351370
ADAM,326051
KAZIMIERZ,275649
MAREK,274829
TOMASZ,272560
MICHAŁ,267139
JERZY,256600
MARIAN,238271
ANTONI,230989
FRANCISZEK,228553
TADEUSZ,226681
WOJCIECH,226642
GRZEGORZ,215578
MARCIN,200287
ŁUKASZ,175838
HENRYK,167309
ZBIGNIEW,166780
WŁADYSŁAW,163285
RYSZARD,162601
JAKUB,143259
ROBERT,138947
JACEK,137326
JANUSZ,132197
KAROL,122953
MATEUSZ,121101
MACIEJ,119763
ROMAN,116178
STEFAN,112387
MARIUSZ,103711
ALEKSANDER,103183
RAFAŁ,100273
EDWARD,98536
MIECZYSŁAW,97230
DARIUSZ,95217
SEBASTIAN,86235
MIROSŁAW,80187
CZESŁAW,79055
WIESŁAW,77134
ZDZISŁAW,76240
ZYGMUNT,73568
ARTUR,72802
KAMIL,69102
SŁAWOMIR,67725
MIKOŁAJ,66711
LESZEK,64729
BOGDAN,64541
SZYMON,64119
DAWID,63506
DANIEL,63481
JAROSŁAW,62278
EUGENIUSZ,61021
DOMINIK,59825
WALDEMAR,59472
WIKTOR,58472
DAMIAN,52570
PATRYK,52304
SYLWESTER,51919
KONRAD,47737
PRZEMYSŁAW,46944
BRONISŁAW,45343
BOLESŁAW,44661
BOGUSŁAW,44523
WACŁAW,42994
SZCZEPAN,41476
ARKADIUSZ,41198
WŁODZIMIERZ,39769
LEON,39438
KACPER,39131
WITOLD,38373
BARTŁOMIEJ,36914
IGNACY,36305
LUDWIK,34687
ZENON,34215
KRYSTIAN,33843
IRENEUSZ,32939
FILIP,32885
MAKSYMILIAN,32842
ADRIAN,32517
JULIAN,31858
FELIKS,29998
BARTOSZ,27988
BERNARD,26697
HUBERT,25555
EDMUND,23674
WINCENTY,23184
ALOJZY,23050
RADOSŁAW,22710
GABRIEL,21653
LUCJAN,20025
CEZARY,19343
LECH,18777
WALENTY,17817
NORBERT,17211
EMIL,14884
BOGUMIŁ,14382
TEODOR,13952
OSKAR,13062
BŁAŻEJ,12610
AUGUSTYN,12437
MARIA,11937
ROMUALD,11839
SEWERYN,11730
ALFRED,11667
BENEDYKT,11543
FLORIAN,10727
GERARD,10453
JOACHIM,10436
KONSTANTY,10261
IGOR,10076
LEONARD,9564
ERYK,9234
MIŁOSZ,9230
JULIUSZ,8948
WAWRZYNIEC,8675
ALBERT,8662
TEOFIL,7766
NIKODEM,7471
MARCEL,7026
OLIWIER,6728
WILHELM,6595
RUDOLF,6514
REMIGIUSZ,6465
ERNEST,6419
KSAWERY,6248
LESŁAW,6186
HIERONIM,6135
ADOLF,6070
KLEMENS,5979
LEOPOLD,5955
ALFONS,5879
KAJETAN,5839
RAJMUND,5636
BRUNON,5598
ALAN,5450
IZYDOR,5403
FABIAN,5230
EMANUEL,5118
GUSTAW,4774
MARCELI,4757
FRYDERYK,4704
ALBIN,4702
ROCH,4682
WALERIAN,4563
TYMOTEUSZ,4489
CYPRIAN,4070
KLAUDIUSZ,3731
ZYGFRYD,3634
OLAF,3508
ALEXANDER,3402
GRACJAN,3322
BOHDAN,3292
ALEKSY,2952
AUGUST,2931
MICHAEL,2699
BORYS,2686
WALTER,2593
TOBIASZ,2566
ERWIN,2547
FERDYNAND,2541
BENIAMIN,2502
BRUNO,2486
DAVID,2400
KORNEL,2396
JĘDRZEJ,2383
BONIFACY,2295
OLGIERD,2293
SERGIUSZ,2245
SAMUEL,2243
NATAN,2180
ŁUCJAN,2171
HERBERT,2143
JOHN,2135
PAUL,2119
LONGIN,2075
AMADEUSZ,2055
JACENTY,2015
MAURYCY,2015
PETER,1980
KUBA,1912
EMILIAN,1899
MARTIN,1880
ROLAND,1834
DIONIZY,1711
JAMES,1668
JOSEPH,1661
IWO,1660
EDWIN,1617
TYMON,1605
THOMAS,1580
MIESZKO,1576
GINTER,1547
ARNOLD,1545
WIT,1528
ARIEL,1502
TYTUS,1501
IDZI,1495
ZIEMOWIT,1456
WERNER,1436
HERMAN,1399
ELIGIUSZ,1378
EUZEBIUSZ,1370
BOŻYDAR,1367
JEREMI,1362
KASPER,1355
HIPOLIT,1343
HELMUT,1244
DORIAN,1242
JOSEF,1232
PATRICK,1184
APOLINARY,1170
OLIVIER,1138
CYRYL,1116
HERONIM,1109
DENIS,1091
RICHARD,1087
ANTHONY,1079
WILLIAM,1076
OKTAWIAN,1075
ALEX,1061
KORDIAN,1052
NATANIEL,1044
ALEKS,1034
OLIVER,1032
BAZYLI,1020
ANDREW,1006
CHRISTOPHER,1002
AMBROŻY,1000
LECHOSŁAW,997
ANATOL,991
KRYSPIN,963
KUMAR,959
NARCYZ,955
MAKSYM,952
EWALD,939
URBAN,938
KORNELIUSZ,928
HILARY,926
GERHARD,915
FELICJAN,895
KOSMA,893
MELCHIOR,889
ELIASZ,873
KOSTKA,865
HORST,856
AURELIUSZ,847
CHRISTIAN,845
SZCZĘSNY,839
MANFRED,823
SINGH,822
OTTO,814
ANTONIO,805
ANDREAS,800
PATRYCJUSZ,797
MIRON,793
MARK,768
JUSTYN,759
BALTAZAR,750
MANUEL,745
JEREMIASZ,739
OLIWER,732
DIETER,731
MAKS,728
DONAT,724
LUDOMIR,713
BENON,712
APOLONIUSZ,702
WAWRZYN,695
HEINZ,692
HUGO,692
MAXIMILIAN,671
KURT,665
LUBOMIR,659
VICTOR,657
JONATAN,656
JONASZ,655
WALERY,652
ROGER,650
BENJAMIN,648
RAFAEL,645
KEVIN,641
ANASTAZY,638
ZBYSŁAW,635
BRAJAN,633
ZBYSZEK,633
JOHANNES,620
JACOB,612
GEORGE,610
NICOLAS,599
JAROMIR,589
WOLFGANG,588
ZACHARIASZ,587
HENRY,584
ALI,579
MAX,579
JANUARY,569
MILAN,568
RUFIN,567
ARON,566
GEORG,566
LEO,548
KEWIN,531
EWARYST,528
MIGUEL,525
ZBYSZKO,525
CHARLES,522
VINCENT,519
BOGUSZ,517
CELESTYN,515
MATTHEW,492
GWIDON,489
DAMAZY,488
ZENOBIUSZ,478
KLAUS,476
SERAFIN,475
JOHANN,464
MAKARY,459
KARL,452
OSCAR,451
ENGELBERT,448
DYONIZY,446
JORDAN,446
JOZEF,446
OTTON,445
FRANZ,444
MARIO,442
LUKAS,441
OSWALD,437
EDGAR,436
STANISLAW,435
BONAWENTURA,433
KRYSTYN,432
JOSE,431
RADOMIR,431
BARNABA,425
LEW,425
JEAN,424
SATURNIN,423
JAVIER,422
ARTHUR,419
NICHOLAS,418
FRANCIS,415
ALBERTO,414
MEDARD,409
PHILIP,408
NAPOLEON,406
KANTY,402
SOBIESŁAW,399
EUSTACHY,398
TELESFOR,394
CARLOS,385
SIMON,385
WINICJUSZ,385
WILLI,382
PIERRE,379
LUIS,378
ANTON,373
MODEST,372
ALEJANDRO,369
DYMITR,368
HANS,365
MICHEL,362
JUREK,358
JONATHAN,354
WIEŃCZYSŁAW,354
DOBROSŁAW,353
PAWEL,353
LUCAS,352
REINHOLD,351
GABRYEL,350
ERAZM,346
MARKUS,343
RAJNOLD,343
FRANK,342
POLIKARP,342
AHMED,341
JAREMA,341
DOBROMIR,337
CHRYSTIAN,335
BAHADUR,334
SYLWERIUSZ,332
NIKOLAS,330
CEZAR,325
EDUARDO,325
JURAND,324
WITALIS,323
XAVIER,312
LOUIS,308
HEINRICH,306
MOHAMED,305
ERIC,304
MICHAL,304
STANLEY,304
VIKTOR,298
JÜRGEN,296
ALEXANDRE,295
ONUFRY,294
NATHAN,292
AARON,291
ERICH,291
HUGON,287
TYCJAN,286
LEE,283
RONALD,282
BRIAN,280
DOBIESŁAW,278
CHRISTOPH,277
PASCAL,272
FAUSTYN,271
FELIX,271
ERIK,270
ANDRÉ,265
GÜNTER,263
GOTFRYD,260
IAN,258
KASJAN,254
ANGELO,252
ANDRES,250
JÓZEFAT,247
MARCO,245
ANDRE,242
EMMANUEL,242
GNIEWKO,241
OKTAWIUSZ,241
PIUS,241
ENRIQUE,240
KSAWIER,240
JOSÉ,238
CEZARIUSZ,236
LUCJUSZ,236
SERWACY,236
CAN,233
GERWAZY,233
EUSTACHIUSZ,231
JUNIOR,229
GNIEWOMIR,228
DITER,227
KRZESIMIR,226
STEPHEN,226
OREST,223
SYMEON,223
ANZELM,221
FERNANDO,221
ŁADYSŁAW,219
ERNST,218
PABLO,218
GREGORY,216
RENE,216
IBRAHIM,215
HARRY,213
JOSHUA,212
RICARDO,212
JACK,209
JAKOB,208
TYBERIUSZ,207
ANGEL,206
ROBERTO,206
GREGOR,205
FRANCISCO,203
MARC,202
DOMINIC,201
JORGE,201
PRASAD,200
SŁAWEK,199
HELIODOR,198
HERMANN,197
PAULIN,196
NORMAN,195
PIO,193
JOEL,192
STEVEN,191
DEZYDERIUSZ,189
EGON,189
OLEG,188
RYAN,188
SAMBOR,188
SCOTT,188
FILIPE,187
MARIE,187
NOAH,187
BERNHARD,185
OTON,185
LUKASZ,182
LEONARDO,181
EKSPEDYT,180
HARALD,180
IVAN,180
SŁAWOJ,180
SYLWIUSZ,180
ARMIN,177
AXEL,175
LUDWIG,175
PANKRACY,175
PHILIPPE,175
FRANCESCO,173
METODY,171
ARMAND,170
TRISTAN,170
BERNARDYN,168
DIEGO,166
MARCUS,166
HENRI,165
JUSTIN,164
MOSHE,163
WIRGILIUSZ,163
GILBERT,162
KONSTANTYN,162
PEDRO,162
WITOSŁAW,162
OMAR,161
MIŁOSŁAW,158
ELIAS,157
MAGNUS,157
ALLAN,156
GAWEŁ,156
JACQUES,156
JASON,154
FRIEDRICH,153
MŚCISŁAW,153
NOEL,153
ABRAHAM,150
KALIKST,150
DENNIS,149
NOE,149
EZEQUIEL,148
MAXYMILIAN,147
XAWERY,147
IGNACIO,146
JOHAN,146
MOHAMMED,145
RADZISŁAW,145
KARIM,144
RAYMOND,144
LIAM,143
MARCJAN,143
GEORGES,140
IVO,140
MARIUS,140
IZAAK,139
CLAUDE,138
MATTHIAS,138
SEAN,138
AUGUSTO,137
CONRAD,137
DONALD,136
PHILIPP,136
RUBEN,136
NESTOR,135
ANDRÉS,134
GIOVANNI,134
GIUSEPPE,134
LUCA,134
ANTOINE,132
ERHARD,132
HENRIQUE,132
MAURICE,132
NATHANIEL,132
IWAN,131
PRZYBYSŁAW,131
AHMAD,130
BARTEK,130
TOMAS,130
KLEOFAS,128
GERALD,127
PAOLO,127
SANTIAGO,127
ULRICH,127
ANH,126
KAI,126
KRISTIAN,126
RAFAL,126
LUKE,125
NAM,125
ZAWISZA,125
FRANÇOIS,124
EMRE,123
ISAAC,123
LOTAR,123
REINHARD,122
TOBIAS,122
CHRISTOPHE,121
HASSAN,121
SYLWIN,121
FREDERICK,120
INOCENTY,120
GNIEWOSZ,118
VALENTIN,118
ZACHARY,118
RAJ,117
ANTONIUSZ,115
LOTHAR,115
GUSTAV,114
COLIN,113
KENNETH,113
MIKAEL,113
ALOIS,112
THEODOR,112
TIMOTHY,112
WINCENT,112
FRANCOIS,111
BRANDON,110
RAPHAEL,110
SIEGFRIED,110
JULIEN,109
ROBIN,109
ALAIN,107
ANTONY,107
FRITZ,107
ISRAEL,107
CORNELIS,106
DAREK,106
MIKOLAJ,106
PATRIK,106
ALLEN,105
BERTOLD,105
EDUARD,105
HEKTOR,105
NEPOMUCEN,105
SAMIR,105
WENANCJUSZ,105
GŰNTER,104
HAIM,104
HENRIK,104
RAUL,104
DOUGLAS,103
IVANOV,103
MATHIAS,103
JUAN,102
SYKSTUS,102
ESTEBAN,101
LAMBERT,101
PHILLIP,101
MINH,100
WADIM,100
ADALBERT,99
FELIPE,98
ROMEO,98
ARMANDO,97
DARIUS,97
RAINER,97
RENÉ,97
ANTONIUS,96
CRISTIAN,96
ERNESTO,96
ETHAN,96
GUSTAVO,96
WOJTEK,96
GORDON,95
PAULO,95
PROKOP,95
ROY,95
WILLEM,95
BRYAN,94
JAREK,93
JURGEN,93
MUSTAFA,93
STANISLAS,93
NATANAEL,92
REGINALD,92
SALOMON,92
VĂN,92
ZEFIRYN,92
BERND,91
JAKÓB,91
JESUS,91
LAWRENCE,91
ANATOLIUSZ,90
JUHANI,90
ANDREA,89
MARTYN,89
MATIAS,89
STEPHAN,89
BASTIAN,88
RAJNHOLD,88
EUGEN,87
REDDY,87
UWE,87
WENANTY,87
LARS,86
MAMERT,86
MARCELO,86
YVES,86
BRAYAN,85
HENDRIK,85
MIKE,85
AMIR,84
HORACY,84
JULIUS,84
WASYL,84
TOM,83
AVRAHAM,82
CARL,82
GEORGIEV,82
HONORAT,82
JANUARIUSZ,82
SŁAWOSZ,82
URSYN,82
WALENTYN,82
YOSEF,82
ALESSANDRO,81
SERGIO,81
WLADYSLAW,81
KEITH,80
MATTEO,80
WIRGINIUSZ,80
ALFREDO,79
CHRISTOF,79
EBERHARD,79
FLAWIUSZ,79
JANISŁAW,79
RAGNAR,79
CESAR,78
DARIO,78
EMILIO,78
EUGENE,78
JŰRGEN,78
LUIGI,78
SALVATORE,78
STUART,78
WENDELIN,78
ARKADY,77
DAN,77
MARKO,77
DYLAN,76
RAJNARD,76
ZVI,76
ABDULLAH,75
AKSEL,75
CASPER,75
GERD,75
HUNG,75
JEREMY,75
KASPIAN,74
LAURENT,74
RAY,74
MEIR,73
PETRUS,73
RAMON,73
SHMUEL,73
DENIZ,72
DOMINIQUE,72
GUY,72
BOBOLA,71
FRYC,71
GASTON,71
ISMAIL,71
JAY,71
JONAS,71
LORENZO,71
ROŚCISŁAW,71
SON,71
TUAN,71
HASAN,70
KAJ,70
NIKOLAUS,70
PASCHALIS,70
RADEK,70
RADZIMIR,70
SHLOMO,70
ŚCIBOR,70
WILIBALD,70
BRUCE,69
FEDERICO,69
FORTUNAT,69
MAHMOUD,69
MATHEW,69
NEIL,69
VALENTINO,69
CARLO,68
DEONIZY,68
EMERYK,68
MOHAMMAD,68
MUHAMMAD,68
PROTAZY,68
ZACHEUSZ,68
ANDERS,67
ILDEFONS,67
MIROSLAW,67
SAMI,67
WILLY,67
ALEXIS,66
CONSTANTIN,66
CZESLAW,66
DIMITROV,66
KAAN,66
LEWIS,66
LIONEL,66
ŁAZARZ,66
MORDECHAI,66
THANH,66
CHRYZOSTOM,65
DEAN,65
FREDERIK,65
HERNAN,65
JACOBUS,65
LUIZ,65
PASKAL,65
RADOMIŁ,65
RALF,65
ŚWIĘTOSŁAW,65
WAYNE,65
ARTURO,64
GABOR,64
NICO,64
SVEN,64
MARCELIN,63
THEO,63
WODZISŁAW,63
ALWIN,62
CHRIS,62
DIRK,62
