IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
ANNA,1323997
MARIA,999082
ZOFIA,704959
KATARZYNA,680552
MAŁGORZATA,624868
KRYSTYNA,605389
BARBARA,595720
AGNIESZKA,595338
JANINA,579235
EWA,536588
ELŻBIETA,518984
HELENA,493924
TERESA,473272
JADWIGA,453091
MAGDALENA,452552
JOANNA,443856
MARIANNA,443024
ALEKSANDRA,425961
IRENA,401472
MONIKA,397936
DANUTA,387212
STANISŁAWA,359817
HALINA,358471
MARTA,334546
NATALIA,322291
JULIA,317188
KAROLINA,312889
BEATA,290600
DOROTA,285715
ALICJA,278636
GRAŻYNA,262455
JOLANTA,260972
IWONA,243307
WIKTORIA,238328
PAULINA,236759
BOŻENA,227654
URSZULA,226480
JUSTYNA,222439
ZUZANNA,219015
RENATA,201906
HANNA,199672
EMILIA,191374
AGATA,190440
WANDA,189765
WERONIKA,187622
SYLWIA,186987
JÓZEFA,185377
STEFANIA,182966
GENOWEFA,175509
PATRYCJA,170545
IZABELA,168021
MAJA,164587
WŁADYSŁAWA,155641
ANETA,154503
KAZIMIERA,152326
EWELINA,151028
OLIWIA,147525
MARTYNA,141359
KLAUDIA,139920
GABRIELA,139094
WIESŁAWA,137865
MARZENA,133644
DOMINIKA,124031
KINGA,120709
EDYTA,118909
LENA,117990
ANIELA,117846
AMELIA,117299
KAMILA,112710
BRONISŁAWA,110683
LUCYNA,109049
ALINA,107103
ANTONINA,105893
LIDIA,98871
CZESŁAWA,97723
REGINA,92533
LEOKADIA,91544
HENRYKA,90987
MIROSŁAWA,87896
MARIOLA,86942
ŁUCJA,77398
SABINA,77054
WIOLETTA,74747
NIKOLA,74729
DARIA,72321
MILENA,72037
CECYLIA,71304
MICHALINA,71172
BOGUMIŁA,70822
OLGA,67943
FRANCISZKA,67225
EUGENIA,66155
ANGELIKA,65842
ROZALIA,59440
LAURA,57665
BOGUSŁAWA,56485
SANDRA,54183
ILONA,53456
GERTRUDA,51879
MARLENA,49222
KORNELIA,46792
NADIA,46752
ANITA,46349
NINA,40408
ZDZISŁAWA,39767
LILIANA,39158
IGA,38748
JAGODA,38448
MARCELINA,38064
ANASTAZJA,37237
DANIELA,37192
WIOLETA,35099
POLA,34705
KLARA,34426
RÓŻA,32667
ADRIANNA,32649
KARINA,32167
ROKSANA,31997
DAGMARA,31945
MALWINA,30415
SARA,28583
PELAGIA,28545
APOLONIA,28035
ŻANETA,27708
ELIZA,27008
JULIANNA,26786
HONORATA,26646
MIECZYSŁAWA,26338
BERNADETA,26088
ADELA,25596
WALERIA,25419
LUDWIKA,24918
CELINA,24395
TETIANA,23403
NATALIIA,23223
ALDONA,23222
ELEONORA,22578
KAJA,22283
JULITA,22122
OLENA,21877
FELIKSA,21866
IRYNA,21292
WACŁAWA,21146
BLANKA,20289
VIOLETTA,20180
OKSANA,20004
ALFREDA,19894
MATYLDA,19732
MAGDA,18489
DIANA,18129
FELICJA,17791
BRYGIDA,17755
LILIANNA,17383
AURELIA,17293
BOŻENNA,17136
SVITLANA,16932
OLHA,16479
IZABELLA,16309
WALENTYNA,15828
ADRIANA,15719
PAULA,15450
HILDEGARDA,15328
MARIIA,13766
ELWIRA,13615
MARZANNA,13075
YULIIA,13033
KALINA,12999
MARIKA,12904
SONIA,12878
OTYLIA,12305
ZENOBIA,12207
ANDŻELIKA,11960
ROMANA,11913
NELA,11849
VIKTORIIA,11695
ARLETA,11689
MELANIA,11644
ZENONA,11595
TEODOZJA,11456
LIUDMYLA,11138
KATERYNA,10850
ANASTASIIA,10835
OLIVIA,10821
LUIZA,10782
TEODORA,10717
SALOMEA,10650
TATIANA,10352
ALBINA,10120
BOLESŁAWA,9806
JUDYTA,9779
ROMUALDA,9776
HALYNA,9455
LUDMIŁA,9282
NATASZA,8924
NICOLE,8917
NICOLA,8881
ADELAJDA,8852
JOWITA,8671
TAMARA,8599
VICTORIA,8565
MARYNA,8263
VANESSA,7929
LEONARDA,7898
MARZENNA,7889
ERYKA,7804
INGA,7757
GIZELA,7539
LONGINA,7508
TEOFILA,7483
VALENTYNA,7469
DONATA,7464
JESSICA,7396
ESTERA,7316
LIWIA,7176
BERNADETTA,7072
ADA,7009
TEKLA,6854
NADIIA,6851
NADZIEJA,6835
ELFRYDA,6444
MIA,6427
INNA,6333
IRMINA,6285
ANETTA,6230
LARYSA,6087
RITA,6079
RYSZARDA,6012
BIANKA,5974
KONSTANCJA,5887
BERNARDA,5820
ELENA,5606
