Imię,Liczba
JAN,1058136
STANISŁAW,930060
PIOTR,804041
ANDRZEJ,742987
KRZYSZTOF,728814
JÓZEF,687207
TOMASZ,575998
PAWEŁ,569294
MICHAŁ,549911
TADEUSZ,476509
ADAM,476344
MARCIN,473596
MAREK,454958
JERZY,448949
GRZEGORZ,423843
JAKUB,404903
HENRYK,398399
ZBIGNIEW,397189
ŁUKASZ,395494
KAZIMIERZ,383010
MATEUSZ,377582
WOJCIECH,373179
RYSZARD,365396
MARIAN,338080
DARIUSZ,318378
WŁADYSŁAW,314472
MARIUSZ,310928
ROBERT,283913
MACIEJ,278235
RAFAŁ,274498
FRANCISZEK,274234
ANTONI,269975
JACEK,264342
JANUSZ,260414
KAMIL,253061
ROMAN,236459
MIROSŁAW,235721
DAWID,234406
EDWARD,225147
MIECZYSŁAW,222542
SZYMON,220736
SŁAWOMIR,215708
JAROSŁAW,214665
WIESŁAW,213867
KACPER,210155
CZESŁAW,209119
ZDZISŁAW,203405
STEFAN,200378
BARTOSZ,198781
ARTUR,197731
KAROL,191376
SEBASTIAN,189444
DAMIAN,188058
PATRYK,179989
ALEKSANDER,177221
DANIEL,173038
PRZEMYSŁAW,172164
EUGENIUSZ,164266
ZYGMUNT,161616
LESZEK,157291
ADRIAN,148195
FILIP,146313
WALDEMAR,145322
ARKADIUSZ,143665
BOGDAN,141959
DOMINIK,132924
MIKOŁAJ,125976
BARTŁOMIEJ,125811
WIKTOR,124374
KRYSTIAN,115303
RADOSŁAW,107201
KONRAD,100148
BRONISŁAW,96684
WACŁAW,92681
BOLESŁAW,90200
HUBERT,89945
ZENON,89489
BOGUSŁAW,88649
WŁODZIMIERZ,87917
WITOLD,85794
IRENEUSZ,79185
LEON,76526
IGOR,75105
SYLWESTER,70886
OSKAR,67165
MAKSYMILIAN,62089
MARCEL,59084
JULIAN,59024
EDMUND,58352
MIŁOSZ,53629
IGNACY,47521
CEZARY,47265
NORBERT,45097
ALAN,43790
OLIWIER,42660
FELIKS,42258
LUDWIK,41457
NIKODEM,40335
LECH,40283
BERNARD,36651
GABRIEL,36170
EMIL,35784
LUCJAN,35249
BŁAŻEJ,33178
ERYK,31669
ALOJZY,30740
FABIAN,29394
ALFRED,29132
ROMUALD,27348
SZCZEPAN,26208
TYMOTEUSZ,26018
WINCENTY,23651
OLEKSANDR,23495
TYMON,20682
REMIGIUSZ,20555
GERARD,19507
KSAWERY,18312
BOGUMIŁ,17309
TEODOR,16827
LEONARD,16691
NATAN,16606
SEWERYN,16458
JOACHIM,15933
ALBERT,15829
LESŁAW,15683
OLAF,15672
ADOLF,15273
VOLODYMYR,15210
ALFONS,15130
KAJETAN,15068
WALENTY,14935
BORYS,14871
KONSTANTY,14675
ANDRII,14583
RUDOLF,14345
SERHII,14115
ERNEST,13986
GRACJAN,13903
BENEDYKT,13442
HIERONIM,13063
TOBIASZ,13037
KUBA,12919
