Imię,Liczba
ANNA,1314117
MARIA,988200
ZOFIA,689295
KATARZYNA,679243
MAŁGORZATA,623379
KRYSTYNA,604871
AGNIESZKA,594953
BARBARA,592612
JANINA,578820
EWA,535332
ELŻBIETA,518614
HELENA,487698
TERESA,473062
JADWIGA,452645
MAGDALENA,450152
JOANNA,442206
MARIANNA,441308
ALEKSANDRA,418023
IRENA,401189
MONIKA,397460
DANUTA,387044
STANISŁAWA,359769
HALINA,358200
MARTA,332794
NATALIA,312841
KAROLINA,309926
JULIA,299793
BEATA,290523
DOROTA,284962
ALICJA,267655
GRAŻYNA,262441
JOLANTA,260895
IWONA,243274
PAULINA,235236
WIKTORIA,230012
BOŻENA,227656
URSZULA,225301
JUSTYNA,222095
ZUZANNA,202227
RENATA,201827
WANDA,188993
AGATA,187776
SYLWIA,186857
JÓZEFA,185365
WERONIKA,184604
EMILIA,182837
STEFANIA,182406
HANNA,180415
GENOWEFA,175511
PATRYCJA,169528
IZABELA,166376
WŁADYSŁAWA,155633
ANETA,154405
KAZIMIERA,152320
EWELINA,150764
MAJA,149528
KLAUDIA,138836
MARTYNA,137890
WIESŁAWA,137875
OLIWIA,137114
MARZENA,133630
GABRIELA,133373
DOMINIKA,122797
EDYTA,118805
KINGA,118692
ANIELA,115575
KAMILA,111871
BRONISŁAWA,110663
LUCYNA,108903
AMELIA,107542
LENA,104693
ALINA,103370
CZESŁAWA,97721
LIDIA,97590
ANTONINA,97100
REGINA,92481
LEOKADIA,91517
HENRYKA,90985
MIROSŁAWA,87877
MARIOLA,86931
SABINA,76785
WIOLETTA,74704
ŁUCJA,73494
NIKOLA,71235
CECYLIA,71220
BOGUMIŁA,70778
DARIA,69755
MILENA,67613
FRANCISZKA,67067
OLGA,66125
EUGENIA,66089
ANGELIKA,65735
MICHALINA,65443
ROZALIA,57750
BOGUSŁAWA,56477
SANDRA,53581
ILONA,52759
GERTRUDA,51879
MARLENA,48870
LAURA,47678
ANITA,46019
KORNELIA,42053
NADIA,41308
ZDZISŁAWA,39765
DANIELA,37027
NINA,36125
WIOLETA,35091
JAGODA,34453
ANASTAZJA,34163
IGA,32499
LILIANA,32157
ROKSANA,31505
DAGMARA,31393
KARINA,31224
MARCELINA,31030
ADRIANNA,31017
RÓŻA,30791
MALWINA,29329
KLARA,28861
PELAGIA,28536
ŻANETA,27683
APOLONIA,27217
HONORATA,26546
JULIANNA,26479
POLA,26463
MIECZYSŁAWA,26343
SARA,26278
BERNADETA,26065
WALERIA,25345
ADELA,25231
ELIZA,25222
LUDWIKA,24895
CELINA,24053
ALDONA,23209
ELEONORA,22448
FELIKSA,21860
JULITA,21777
WACŁAWA,21146
VIOLETTA,19999
ALFREDA,19896
KAJA,18715
MAGDA,18346
BRYGIDA,17747
FELICJA,17509
MATYLDA,17345
BOŻENNA,17119
BLANKA,16270
AURELIA,15992
IZABELLA,15969
WALENTYNA,15779
DIANA,15509
ADRIANA,15472
HILDEGARDA,15328
PAULA,15181
LILIANNA,14575
ELWIRA,13592
MARZANNA,13072
SONIA,12517
ZENOBIA,12209
MARIKA,12179
OTYLIA,12090
ANDŻELIKA,11909
ROMANA,11856
ARLETA,11668
ZENONA,11592
TEODOZJA,11449
KALINA,11349
IRYNA,10708
TEODORA,10699
SALOMEA,10642
OKSANA,10553
OLENA,10431
MELANIA,10393
TETIANA,10267
NATALIIA,10266
LUIZA,10228
ALBINA,9879
BOLESŁAWA,9805
ROMUALDA,9774
TATIANA,9734
OLIVIA,9597
JUDYTA,9565
LUDMIŁA,9218
ADELAJDA,8832
NATASZA,8601
NICOLA,8593
NICOLE,8474
JOWITA,8296
NELA,8127
LEONARDA,7899
MARZENNA,7889
ERYKA,7787
SVITLANA,7762
VICTORIA,7698
TAMARA,7580
OLHA,7541
GIZELA,7539
LONGINA,7508
VANESSA,7486
TEOFILA,7480
DONATA,7455
INGA,7159
JESSICA,7093
ESTERA,7069
BERNADETTA,7064
TEKLA,6843
NADZIEJA,6801
MARIIA,6734
ELFRYDA,6444
ADA,6300
ANETTA,6226
IRMINA,6222
RYSZARDA,6011
LIWIA,5842
BERNARDA,5820
KONSTANCJA,5648
YULIIA,5527
SŁAWOMIRA,5448
RITA,5359
AMANDA,5331
KATERYNA,5297
FLORENTYNA,5272
WIERA,5259
LUCJA,5228
VIKTORIIA,5036
ZYTA,4967
LILLA,4955
KUNEGUNDA,4895
ANASTASIIA,4884
BIANKA,4852
LIUDMYLA,4740
LILIA,4697
HALYNA,4561
IDA,4459
KAMILLA,4427
EMMA,4418
OLIMPIA,4375
ELENA,4337
EDWARDA,4306
MARCELA,4305
KLEMENTYNA,4095
MAYA,4080
SEWERYNA,3901
MIRELA,3897
MARYNA,3880
BALBINA,3843
FILOMENA,3825
MIA,3749
LEONTYNA,3665
LARYSA,3626
MARYLA,3584
KSENIA,3501
VALENTYNA,3491
MARCJANNA,3440
FAUSTYNA,3437
LILA,3410
EDELTRAUDA,3361
SAMANTA,3306
ERNA,3187
NADIIA,3132
PETRONELA,3108
BERTA,3064
INNA,3043
AMALIA,3026
ANGELINA,2950
LUBA,2924
ALEXANDRA,2902
RUTA,2823
OKTAWIA,2787
PAMELA,2730
KRZYSZTOFA,2668
BOGNA,2665
DOMICELA,2663
VIKTORIA,2647
WANESSA,2631
GERDA,2526
OLEKSANDRA,2519
MIRELLA,2425
SOFIA,2361
IRMGARDA,2356
CLAUDIA,2308
HELGA,2304
LEONIA,2270
ALLA,2259
EULALIA,2236
LIUBOV,2227
INEZ,2199
JAROSŁAWA,2181
NOEMI,2133
PRAKSEDA,2128
YANA,2082
ZOJA,2020
STELLA,2018
MARIYA,2012
ANGELA,1981
BERNARDYNA,1977
OTOLIA,1954
EUFEMIA,1951
OLA,1947
GAJA,1884
SOPHIE,1857
VERONIKA,1856
MICHELLE,1844
NEL,1843
ZINAIDA,1837
JAGNA,1777
IZA,1776
AUGUSTYNA,1771
ARLETTA,1751
SARAH,1747
NATALIYA,1746
ERIKA,1731
EMA,1703
EMILY,1691
ROMA,1684
BENEDYKTA,1682
KLAUDYNA,1681
BLANDYNA,1666
LILIIA,1664
MIRIAM,1664
MARIANA,1662
MANUELA,1655
LUBOMIRA,1621
GRETA,1619
WINCENTYNA,1608
INES,1602
KORNELA,1588
ANTONIA,1576
MARIETTA,1573
TOLA,1557
RAISA,1545
ALONA,1544
DOBROSŁAWA,1537
GABRYELA,1532
IVANNA,1514
WILHELMINA,1504
NATALIE,1494
MARINA,1491
WALESKA,1477
LIGIA,1457
IRINA,1453
SOFIIA,1445
GALYNA,1443
HANKA,1440
SCHOLASTYKA,1436
KHRYSTYNA,1416
JAŚMINA,1403
ALENA,1384
ERNESTYNA,1356
WIRGINIA,1343
LEA,1331
EVA,1321
BOGDANA,1307
ANDREA,1291
INGEBORGA,1291
BENIGNA,1290
VALERIIA,1288
YULIYA,1283
MARTINA,1275
HERMINA,1240
KSAWERA,1237
VIRA,1211
JÓZEFINA,1210
WANESA,1206
NICOL,1205
DŻESIKA,1204
CELESTYNA,1193
LESIA,1185
TETYANA,1181
SERAFINA,1177
LINDA,1176
IRMA,1165
MAJKA,1120
ADAMINA,1112
MARITA,1109
IWONNA,1105
ALA,1104
VERONICA,1102
ANA,1093
JENNIFER,1079
MILA,1078
ADOLFINA,1074
LUDWINA,1074
LUDOMIRA,1071
EMANUELA,1067
NIKOL,1053
SIMONA,1053
DAJANA,1050
SOPHIA,1047
GALINA,1043
IULIIA,1039
PATRICIA,1034
ANASTASIYA,1028
MALINA,1015
GANNA,1011
ALOJZA,1006
ANIKA,1003
INGRID,989
SYLWESTRA,989
EUFROZYNA,983
ELZA,977
LIVIA,975
ISABELLA,970
SABRINA,959
BERENIKA,941
MIRA,940
GLORIA,933
RAMONA,928
NIKOLETTA,927
ŻAKLINA,926
IDALIA,904
LEONA,903
TATSIANA,896
ANASTASIA,895
EMILA,895
JANA,892
EUDOKIA,875
OLESIA,873
CAROLINE,869
SYBILLA,866
YELYZAVETA,856
CARMEN,854
HIERONIMA,853
SWIETŁANA,852
POLINA,850
YEVHENIIA,844
HERONIMA,836
FRYDERYKA,834
ADOLFA,831
NELLY,830
NATALLIA,820
SŁAWA,815
LARA,814
RUSLANA,810
ZENAIDA,809
GABRIELLA,808
KRISTINA,806
MICHAELA,804
WINCENTA,793
GRACJANA,788
DALIA,787
HANNAH,786
NADIYA,786
VOLHA,783
MARGARETA,782
BERNARDETA,780
CYRYLA,769
LYUDMYLA,766
ELLA,758
ŻANETTA,758
MARIE,756
SZARLOTA,751
MYROSLAVA,747
AUGUSTA,743
ELIZABETH,737
MARGOT,729
LESŁAWA,726
ELA,723
NAOMI,718
ALICIA,716
KATSIARYNA,716
ROXANA,715
ALICE,709
BENITA,709
NARCYZA,709
MODESTA,704
ZHANNA,701
MARGARITA,695
ULIANA,693
VITA,688
KARIN,684
LILY,681
KARYNA,671
LIDIIA,671
DOBROCHNA,670
LUCJANNA,670
SVETLANA,670
LYUBOV,668
JESIKA,666
VIOLETA,665
JULITTA,662
BIANCA,658
ALISA,653
HANA,648
LEONORA,645
INA,640
EUNIKA,636
VALENTINA,630
KASANDRA,629
LILLY,621
MONICA,618
CAROLINA,614
HERTA,614
KAYA,614
BIBIANNA,609
RADOSŁAWA,609
JESSIKA,607
DAGNA,606
INKA,604
ANZHELA,600
ABIGAIL,594
ROZWITA,594
ALMA,593
PARASKIEWIA,592
WALTRAUDA,591
MARHARYTA,588
ORIANA,585
