IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
JAN,MĘŻCZYZNA,1075102
STANISŁAW,MĘŻCZYZNA,940345
PIOTR,MĘŻCZYZNA,810379
ANDRZEJ,MĘŻCZYZNA,743547
KRZYSZTOF,MĘŻCZYZNA,732753
JÓZEF,MĘŻCZYZNA,688433
TOMASZ,MĘŻCZYZNA,579473
PAWEŁ,MĘŻCZYZNA,571975
MICHAŁ,MĘŻCZYZNA,557944
ADAM,MĘŻCZYZNA,486874
TADEUSZ,MĘŻCZYZNA,478307
MARCIN,MĘŻCZYZNA,474584
MAREK,MĘŻCZYZNA,455703
JERZY,MĘŻCZYZNA,450009
GRZEGORZ,MĘŻCZYZNA,425299
JAKUB,MĘŻCZYZNA,421168
HENRYK,MĘŻCZYZNA,399793
ZBIGNIEW,MĘŻCZYZNA,397368
ŁUKASZ,MĘŻCZYZNA,396548
KAZIMIERZ,MĘŻCZYZNA,384119
WOJCIECH,MĘŻCZYZNA,383709
MATEUSZ,MĘŻCZYZNA,382061
RYSZARD,MĘŻCZYZNA,366134
MARIAN,MĘŻCZYZNA,338826
DARIUSZ,MĘŻCZYZNA,318620
WŁADYSŁAW,MĘŻCZYZNA,314864
MARIUSZ,MĘŻCZYZNA,311069
FRANCISZEK,MĘŻCZYZNA,288832
ANTONI,MĘŻCZYZNA,288002
ROBERT,MĘŻCZYZNA,285198
MACIEJ,MĘŻCZYZNA,281416
RAFAŁ,MĘŻCZYZNA,275457
JACEK,MĘŻCZYZNA,264770
JANUSZ,MĘŻCZYZNA,260456
KAMIL,MĘŻCZYZNA,255292
ROMAN,MĘŻCZYZNA,247049
DAWID,MĘŻCZYZNA,238973
MIROSŁAW,MĘŻCZYZNA,235796
SZYMON,MĘŻCZYZNA,234636
EDWARD,MĘŻCZYZNA,225463
MIECZYSŁAW,MĘŻCZYZNA,222630
KACPER,MĘŻCZYZNA,220039
SŁAWOMIR,MĘŻCZYZNA,215782
JAROSŁAW,MĘŻCZYZNA,214761
WIESŁAW,MĘŻCZYZNA,213874
CZESŁAW,MĘŻCZYZNA,209217
BARTOSZ,MĘŻCZYZNA,203441
ZDZISŁAW,MĘŻCZYZNA,203422
STEFAN,MĘŻCZYZNA,201561
ARTUR,MĘŻCZYZNA,201523
KAROL,MĘŻCZYZNA,195235
ALEKSANDER,MĘŻCZYZNA,192812
SEBASTIAN,MĘŻCZYZNA,191388
DAMIAN,MĘŻCZYZNA,189076
PATRYK,MĘŻCZYZNA,182007
DANIEL,MĘŻCZYZNA,175294
PRZEMYSŁAW,MĘŻCZYZNA,172948
EUGENIUSZ,MĘŻCZYZNA,164327
ZYGMUNT,MĘŻCZYZNA,161694
FILIP,MĘŻCZYZNA,159028
LESZEK,MĘŻCZYZNA,157396
ADRIAN,MĘŻCZYZNA,150317
WALDEMAR,MĘŻCZYZNA,145367
ARKADIUSZ,MĘŻCZYZNA,144144
BOGDAN,MĘŻCZYZNA,142378
MIKOŁAJ,MĘŻCZYZNA,137731
DOMINIK,MĘŻCZYZNA,136855
WIKTOR,MĘŻCZYZNA,131748
BARTŁOMIEJ,MĘŻCZYZNA,127791
KRYSTIAN,MĘŻCZYZNA,116711
RADOSŁAW,MĘŻCZYZNA,107931
KONRAD,MĘŻCZYZNA,100929
BRONISŁAW,MĘŻCZYZNA,96735
HUBERT,MĘŻCZYZNA,93364
WACŁAW,MĘŻCZYZNA,92683
BOLESŁAW,MĘŻCZYZNA,90283
ZENON,MĘŻCZYZNA,89518
BOGUSŁAW,MĘŻCZYZNA,88729
WŁODZIMIERZ,MĘŻCZYZNA,87981
WITOLD,MĘŻCZYZNA,87051
LEON,MĘŻCZYZNA,86762
IGOR,MĘŻCZYZNA,83120
IRENEUSZ,MĘŻCZYZNA,79239
OSKAR,MĘŻCZYZNA,72186
SYLWESTER,MĘŻCZYZNA,71020
MAKSYMILIAN,MĘŻCZYZNA,68316
MARCEL,MĘŻCZYZNA,68300
JULIAN,MĘŻCZYZNA,63889
MIŁOSZ,MĘŻCZYZNA,59304
EDMUND,MĘŻCZYZNA,58417
IGNACY,MĘŻCZYZNA,55343
