IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ANNA,KOBIETA,1323997
MARIA,KOBIETA,999082
ZOFIA,KOBIETA,704959
KATARZYNA,KOBIETA,680552
MAŁGORZATA,KOBIETA,624868
KRYSTYNA,KOBIETA,605389
BARBARA,KOBIETA,595720
AGNIESZKA,KOBIETA,595338
JANINA,KOBIETA,579235
EWA,KOBIETA,536588
ELŻBIETA,KOBIETA,518984
HELENA,KOBIETA,493924
TERESA,KOBIETA,473272
JADWIGA,KOBIETA,453091
MAGDALENA,KOBIETA,452552
JOANNA,KOBIETA,443856
MARIANNA,KOBIETA,443024
ALEKSANDRA,KOBIETA,425961
IRENA,KOBIETA,401472
MONIKA,KOBIETA,397936
DANUTA,KOBIETA,387212
STANISŁAWA,KOBIETA,359817
HALINA,KOBIETA,358471
MARTA,KOBIETA,334546
NATALIA,KOBIETA,322291
JULIA,KOBIETA,317188
KAROLINA,KOBIETA,312889
BEATA,KOBIETA,290600
DOROTA,KOBIETA,285715
ALICJA,KOBIETA,278636
GRAŻYNA,KOBIETA,262455
JOLANTA,KOBIETA,260972
IWONA,KOBIETA,243307
WIKTORIA,KOBIETA,238328
PAULINA,KOBIETA,236759
BOŻENA,KOBIETA,227654
URSZULA,KOBIETA,226480
JUSTYNA,KOBIETA,222439
ZUZANNA,KOBIETA,219015
RENATA,KOBIETA,201906
HANNA,KOBIETA,199672
EMILIA,KOBIETA,191374
AGATA,KOBIETA,190440
WANDA,KOBIETA,189765
WERONIKA,KOBIETA,187622
SYLWIA,KOBIETA,186987
JÓZEFA,KOBIETA,185377
STEFANIA,KOBIETA,182966
GENOWEFA,KOBIETA,175509
PATRYCJA,KOBIETA,170545
IZABELA,KOBIETA,168021
MAJA,KOBIETA,164587
WŁADYSŁAWA,KOBIETA,155641
ANETA,KOBIETA,154503
KAZIMIERA,KOBIETA,152326
EWELINA,KOBIETA,151028
OLIWIA,KOBIETA,147525
MARTYNA,KOBIETA,141359
KLAUDIA,KOBIETA,139920
GABRIELA,KOBIETA,139094
WIESŁAWA,KOBIETA,137865
MARZENA,KOBIETA,133644
DOMINIKA,KOBIETA,124031
KINGA,KOBIETA,120709
EDYTA,KOBIETA,118909
LENA,KOBIETA,117990
ANIELA,KOBIETA,117846
AMELIA,KOBIETA,117299
KAMILA,KOBIETA,112710
BRONISŁAWA,KOBIETA,110683
LUCYNA,KOBIETA,109049
ALINA,KOBIETA,107103
ANTONINA,KOBIETA,105893
LIDIA,KOBIETA,98871
CZESŁAWA,KOBIETA,97723
REGINA,KOBIETA,92533
LEOKADIA,KOBIETA,91544
HENRYKA,KOBIETA,90987
MIROSŁAWA,KOBIETA,87896
MARIOLA,KOBIETA,86942
ŁUCJA,KOBIETA,77398
SABINA,KOBIETA,77054
WIOLETTA,KOBIETA,74747
NIKOLA,KOBIETA,74729
DARIA,KOBIETA,72321
MILENA,KOBIETA,72037
CECYLIA,KOBIETA,71304
MICHALINA,KOBIETA,71172
BOGUMIŁA,KOBIETA,70822
OLGA,KOBIETA,67943
FRANCISZKA,KOBIETA,67225
EUGENIA,KOBIETA,66155
ANGELIKA,KOBIETA,65842
ROZALIA,KOBIETA,59440
LAURA,KOBIETA,57665
BOGUSŁAWA,KOBIETA,56485
SANDRA,KOBIETA,54183
ILONA,KOBIETA,53456
GERTRUDA,KOBIETA,51879
MARLENA,KOBIETA,49222
KORNELIA,KOBIETA,46792
NADIA,KOBIETA,46752
ANITA,KOBIETA,46349
NINA,KOBIETA,40408
ZDZISŁAWA,KOBIETA,39767
LILIANA,KOBIETA,39158
IGA,KOBIETA,38748
JAGODA,KOBIETA,38448
MARCELINA,KOBIETA,38064
ANASTAZJA,KOBIETA,37237
DANIELA,KOBIETA,37192
WIOLETA,KOBIETA,35099
POLA,KOBIETA,34705
KLARA,KOBIETA,34426
RÓŻA,KOBIETA,32667
ADRIANNA,KOBIETA,32649
KARINA,KOBIETA,32167
ROKSANA,KOBIETA,31997
DAGMARA,KOBIETA,31945
MALWINA,KOBIETA,30415
SARA,KOBIETA,28583
PELAGIA,KOBIETA,28545
APOLONIA,KOBIETA,28035
ŻANETA,KOBIETA,27708
ELIZA,KOBIETA,27008
JULIANNA,KOBIETA,26786
HONORATA,KOBIETA,26646
MIECZYSŁAWA,KOBIETA,26338
BERNADETA,KOBIETA,26088
ADELA,KOBIETA,25596
WALERIA,KOBIETA,25419
LUDWIKA,KOBIETA,24918
CELINA,KOBIETA,24395
TETIANA,KOBIETA,23403
NATALIIA,KOBIETA,23223
ALDONA,KOBIETA,23222
ELEONORA,KOBIETA,22578
KAJA,KOBIETA,22283
JULITA,KOBIETA,22122
OLENA,KOBIETA,21877
FELIKSA,KOBIETA,21866
IRYNA,KOBIETA,21292
WACŁAWA,KOBIETA,21146
BLANKA,KOBIETA,20289
VIOLETTA,KOBIETA,20180
OKSANA,KOBIETA,20004
ALFREDA,KOBIETA,19894
MATYLDA,KOBIETA,19732
MAGDA,KOBIETA,18489
DIANA,KOBIETA,18129
FELICJA,KOBIETA,17791
BRYGIDA,KOBIETA,17755
LILIANNA,KOBIETA,17383
AURELIA,KOBIETA,17293
BOŻENNA,KOBIETA,17136
SVITLANA,KOBIETA,16932
OLHA,KOBIETA,16479
IZABELLA,KOBIETA,16309
WALENTYNA,KOBIETA,15828
ADRIANA,KOBIETA,15719
PAULA,KOBIETA,15450
HILDEGARDA,KOBIETA,15328
MARIIA,KOBIETA,13766
ELWIRA,KOBIETA,13615
MARZANNA,KOBIETA,13075
YULIIA,KOBIETA,13033
KALINA,KOBIETA,12999
MARIKA,KOBIETA,12904
SONIA,KOBIETA,12878
OTYLIA,KOBIETA,12305
ZENOBIA,KOBIETA,12207
ANDŻELIKA,KOBIETA,11960
ROMANA,KOBIETA,11913
NELA,KOBIETA,11849
VIKTORIIA,KOBIETA,11695
ARLETA,KOBIETA,11689
MELANIA,KOBIETA,11644
ZENONA,KOBIETA,11595
TEODOZJA,KOBIETA,11456
LIUDMYLA,KOBIETA,11138
KATERYNA,KOBIETA,10850
ANASTASIIA,KOBIETA,10835
OLIVIA,KOBIETA,10821
LUIZA,KOBIETA,10782
TEODORA,KOBIETA,10717
SALOMEA,KOBIETA,10650
TATIANA,KOBIETA,10352
ALBINA,KOBIETA,10120
BOLESŁAWA,KOBIETA,9806
JUDYTA,KOBIETA,9779
ROMUALDA,KOBIETA,9776
HALYNA,KOBIETA,9455
LUDMIŁA,KOBIETA,9282
NATASZA,KOBIETA,8924
NICOLE,KOBIETA,8917
NICOLA,KOBIETA,8881
ADELAJDA,KOBIETA,8852
JOWITA,KOBIETA,8671
TAMARA,KOBIETA,8599
VICTORIA,KOBIETA,8565
MARYNA,KOBIETA,8263
VANESSA,KOBIETA,7929
LEONARDA,KOBIETA,7898
MARZENNA,KOBIETA,7889
ERYKA,KOBIETA,7804
INGA,KOBIETA,7757
GIZELA,KOBIETA,7539
LONGINA,KOBIETA,7508
TEOFILA,KOBIETA,7483
VALENTYNA,KOBIETA,7469
DONATA,KOBIETA,7464
JESSICA,KOBIETA,7396
ESTERA,KOBIETA,7316
LIWIA,KOBIETA,7176
BERNADETTA,KOBIETA,7072
ADA,KOBIETA,7009
TEKLA,KOBIETA,6854
NADIIA,KOBIETA,6851
NADZIEJA,KOBIETA,6835
ELFRYDA,KOBIETA,6444
MIA,KOBIETA,6427
INNA,KOBIETA,6333
IRMINA,KOBIETA,6285
ANETTA,KOBIETA,6230
LARYSA,KOBIETA,6087
RITA,KOBIETA,6079
RYSZARDA,KOBIETA,6012
BIANKA,KOBIETA,5974
KONSTANCJA,KOBIETA,5887
BERNARDA,KOBIETA,5820
ELENA,KOBIETA,5606
AMANDA,KOBIETA,5538
SŁAWOMIRA,KOBIETA,5449
FLORENTYNA,KOBIETA,5432
LILIA,KOBIETA,5394
IDA,KOBIETA,5284
WIERA,KOBIETA,5268
LUCJA,KOBIETA,5249
EMMA,KOBIETA,5100
LIUBOV,KOBIETA,5042
LILLA,KOBIETA,5027
ZYTA,KOBIETA,4978
KUNEGUNDA,KOBIETA,4897
OLEKSANDRA,KOBIETA,4877
MAYA,KOBIETA,4806
YANA,KOBIETA,4620
ALLA,KOBIETA,4590
KAMILLA,KOBIETA,4471
OLIMPIA,KOBIETA,4456
MARCELA,KOBIETA,4404
EDWARDA,KOBIETA,4305
KLEMENTYNA,KOBIETA,4239
MIRELA,KOBIETA,3908
SEWERYNA,KOBIETA,3903
BALBINA,KOBIETA,3863
FILOMENA,KOBIETA,3844
LILA,KOBIETA,3777
LILIIA,KOBIETA,3775
LEONTYNA,KOBIETA,3672
FAUSTYNA,KOBIETA,3649
MARYLA,KOBIETA,3628
KSENIA,KOBIETA,3592
MARCJANNA,KOBIETA,3511
SAMANTA,KOBIETA,3404
ALONA,KOBIETA,3392
EDELTRAUDA,KOBIETA,3360
ALEXANDRA,KOBIETA,3256
ERNA,KOBIETA,3192
SOFIIA,KOBIETA,3142
SOFIA,KOBIETA,3124
PETRONELA,KOBIETA,3112
BERTA,KOBIETA,3071
GAJA,KOBIETA,3068
AMALIA,KOBIETA,3046
ANGELINA,KOBIETA,3044
MARIANA,KOBIETA,3037
VIKTORIA,KOBIETA,2952
IVANNA,KOBIETA,2948
OKTAWIA,KOBIETA,2947
VERONIKA,KOBIETA,2945
LUBA,KOBIETA,2933
ZOJA,KOBIETA,2849
RUTA,KOBIETA,2836
VALERIIA,KOBIETA,2797
PAMELA,KOBIETA,2776
BOGNA,KOBIETA,2724
KHRYSTYNA,KOBIETA,2720
WANESSA,KOBIETA,2689
KRZYSZTOFA,KOBIETA,2666
DOMICELA,KOBIETA,2664
GERDA,KOBIETA,2533
MIRELLA,KOBIETA,2492
JAGNA,KOBIETA,2486
CLAUDIA,KOBIETA,2436
LESIA,KOBIETA,2418
NOEMI,KOBIETA,2418
IRMGARDA,KOBIETA,2356
VIRA,KOBIETA,2319
HELGA,KOBIETA,2314
LEONIA,KOBIETA,2300
INEZ,KOBIETA,2292
NEL,KOBIETA,2279
EULALIA,KOBIETA,2243
MARIYA,KOBIETA,2190
SOPHIE,KOBIETA,2183
JAROSŁAWA,KOBIETA,2182
STELLA,KOBIETA,2180
ALENA,KOBIETA,2166
PRAKSEDA,KOBIETA,2128
ANGELA,KOBIETA,2099
OLA,KOBIETA,2078
EMILY,KOBIETA,2074
ZINAIDA,KOBIETA,2073
MICHELLE,KOBIETA,2013
RAISA,KOBIETA,2002
NATALIYA,KOBIETA,1984
BERNARDYNA,KOBIETA,1975
OTOLIA,KOBIETA,1957
YEVHENIIA,KOBIETA,1957
EUFEMIA,KOBIETA,1952
SARAH,KOBIETA,1940
TOLA,KOBIETA,1923
MARINA,KOBIETA,1895
YELYZAVETA,KOBIETA,1839
MIRIAM,KOBIETA,1825
YULIYA,KOBIETA,1824
IZA,KOBIETA,1820
ERIKA,KOBIETA,1819
IRINA,KOBIETA,1808
INES,KOBIETA,1799
ANTONIA,KOBIETA,1787
OLESIA,KOBIETA,1786
ROMA,KOBIETA,1784
LEA,KOBIETA,1778
RUSLANA,KOBIETA,1774
AUGUSTYNA,KOBIETA,1774
ARLETTA,KOBIETA,1763
JAŚMINA,KOBIETA,1724
EMA,KOBIETA,1722
GALYNA,KOBIETA,1695
MANUELA,KOBIETA,1687
KLAUDYNA,KOBIETA,1686
MARIETTA,KOBIETA,1686
GRETA,KOBIETA,1685
BENEDYKTA,KOBIETA,1681
BLANDYNA,KOBIETA,1666
NATALIE,KOBIETA,1663
LUBOMIRA,KOBIETA,1620
ANASTASIYA,KOBIETA,1611
WINCENTYNA,KOBIETA,1608
POLINA,KOBIETA,1605
VITA,KOBIETA,1600
KORNELA,KOBIETA,1590
EVA,KOBIETA,1587
DOBROSŁAWA,KOBIETA,1571
TATSIANA,KOBIETA,1566
GABRYELA,KOBIETA,1537
WILHELMINA,KOBIETA,1506
LIDIIA,KOBIETA,1499
KARYNA,KOBIETA,1478
WALESKA,KOBIETA,1477
NATALLIA,KOBIETA,1470
LIGIA,KOBIETA,1466
HANKA,KOBIETA,1441
MARHARYTA,KOBIETA,1438
SCHOLASTYKA,KOBIETA,1437
ANA,KOBIETA,1418
VOLHA,KOBIETA,1407
MYROSLAVA,KOBIETA,1406
MILA,KOBIETA,1391
KRISTINA,KOBIETA,1389
ULIANA,KOBIETA,1380
ANDREA,KOBIETA,1364
MARTINA,KOBIETA,1357
ERNESTYNA,KOBIETA,1356
ZHANNA,KOBIETA,1348
WIRGINIA,KOBIETA,1347
BOGDANA,KOBIETA,1326
JÓZEFINA,KOBIETA,1320
SOPHIA,KOBIETA,1315
KATSIARYNA,KOBIETA,1300
TETYANA,KOBIETA,1295
ANZHELA,KOBIETA,1292
INGEBORGA,KOBIETA,1291
BENIGNA,KOBIETA,1290
IULIIA,KOBIETA,1276
VERONICA,KOBIETA,1264
LARA,KOBIETA,1259
LINDA,KOBIETA,1243
HERMINA,KOBIETA,1243
KSAWERA,KOBIETA,1237
NICOL,KOBIETA,1233
IRMA,KOBIETA,1225
LIVIA,KOBIETA,1221
ALA,KOBIETA,1220
WANESA,KOBIETA,1220
GALINA,KOBIETA,1219
DARYNA,KOBIETA,1211
ANASTASIA,KOBIETA,1211
CELESTYNA,KOBIETA,1209
DŻESIKA,KOBIETA,1198
SERAFINA,KOBIETA,1183
MALINA,KOBIETA,1176
JENNIFER,KOBIETA,1172
NIKOL,KOBIETA,1164
GANNA,KOBIETA,1161
MAJKA,KOBIETA,1155
ANHELINA,KOBIETA,1155
MARITA,KOBIETA,1145
PATRICIA,KOBIETA,1139
KSENIIA,KOBIETA,1133
GLORIA,KOBIETA,1127
ISABELLA,KOBIETA,1121
ADAMINA,KOBIETA,1113
IWONNA,KOBIETA,1105
SIMONA,KOBIETA,1105
EMANUELA,KOBIETA,1093
MIRA,KOBIETA,1087
ALISA,KOBIETA,1087
JANA,KOBIETA,1081
LUDWINA,KOBIETA,1074
ADOLFINA,KOBIETA,1074
LUDOMIRA,KOBIETA,1072
DAJANA,KOBIETA,1068
ANIKA,KOBIETA,1055
INGRID,KOBIETA,1016
SABRINA,KOBIETA,1012
ELZA,KOBIETA,1006
ALOJZA,KOBIETA,1006
SYLWESTRA,KOBIETA,989
EUFROZYNA,KOBIETA,984
IDALIA,KOBIETA,981
HANNAH,KOBIETA,978
SVETLANA,KOBIETA,976
BERENIKA,KOBIETA,974
CARMEN,KOBIETA,966
CAROLINE,KOBIETA,947
NIKOLETTA,KOBIETA,942
RAMONA,KOBIETA,941
GABRIELLA,KOBIETA,941
ELLA,KOBIETA,936
DARYA,KOBIETA,936
DARIIA,KOBIETA,936
ŻAKLINA,KOBIETA,932
LEONA,KOBIETA,913
KIRA,KOBIETA,910
SVIATLANA,KOBIETA,907
NELLY,KOBIETA,906
EMILA,KOBIETA,900
MARYIA,KOBIETA,895
BOHDANA,KOBIETA,883
DALIA,KOBIETA,878
LIUDMILA,KOBIETA,878
SWIETŁANA,KOBIETA,878
VALENTINA,KOBIETA,876
EUDOKIA,KOBIETA,875
INA,KOBIETA,872
SYBILLA,KOBIETA,869
ALICE,KOBIETA,867
ELIZABETH,KOBIETA,860
NAOMI,KOBIETA,858
LILY,KOBIETA,852
ZORIANA,KOBIETA,852
HIERONIMA,KOBIETA,850
MILANA,KOBIETA,848
NADIYA,KOBIETA,846
HERONIMA,KOBIETA,839
MICHAELA,KOBIETA,839
FRYDERYKA,KOBIETA,838
MARIE,KOBIETA,835
ADOLFA,KOBIETA,831
ALICIA,KOBIETA,831
SŁAWA,KOBIETA,818
LYUDMYLA,KOBIETA,817
ZENAIDA,KOBIETA,810
NELIA,KOBIETA,797
GRACJANA,KOBIETA,796
WINCENTA,KOBIETA,794
MARGARETA,KOBIETA,793
BIANCA,KOBIETA,789
MARGARITA,KOBIETA,783
BERNARDETA,KOBIETA,780
VIOLETA,KOBIETA,774
SNIZHANA,KOBIETA,771
INKA,KOBIETA,770
CYRYLA,KOBIETA,770
ŻANETTA,KOBIETA,758
HANA,KOBIETA,757
VIKTORYIA,KOBIETA,757
LILLY,KOBIETA,755
ELA,KOBIETA,751
SZARLOTA,KOBIETA,751
ROXANA,KOBIETA,747
AUGUSTA,KOBIETA,746
MARGOT,KOBIETA,744
