Nazwisko aktualne,Liczba
NOWAK,143437
KOWALSKI,92540
WIŚNIEWSKI,72658
WÓJCIK,65836
KOWALCZYK,64736
KAMIŃSKI,62534
LEWANDOWSKI,61313
DĄBROWSKI,60382
ZIELIŃSKI,60356
SZYMAŃSKI,58981
WOŹNIAK,58911
KOZŁOWSKI,50216
JANKOWSKI,45551
MAZUR,44894
KWIATKOWSKI,43726
WOJCIECHOWSKI,43706
KRAWCZYK,42240
KACZMAREK,41137
PIOTROWSKI,40529
GRABOWSKI,38511
ZAJĄC,36919
PAWŁOWSKI,36753
MICHALSKI,36145
KRÓL,35809
NOWAKOWSKI,34742
WRÓBEL,33577
WIECZOREK,33576
JABŁOŃSKI,33117
DUDEK,32823
ADAMCZYK,32804
MAJEWSKI,32506
NOWICKI,31795
OLSZEWSKI,31607
STĘPIEŃ,31355
JAWORSKI,31106
MALINOWSKI,31093
PAWLAK,30369
GÓRSKI,29742
WITKOWSKI,29416
SIKORA,29386
WALCZAK,29259
RUTKOWSKI,28871
BARAN,28623
MICHALAK,28309
SZEWCZYK,27985
OSTROWSKI,27499
TOMASZEWSKI,26413
PIETRZAK,25912
ZALEWSKI,25889
DUDA,25863
WRÓBLEWSKI,25550
JASIŃSKI,25305
MARCINIAK,25189
BĄK,24870
SADOWSKI,24868
ZAWADZKI,24868
JAKUBOWSKI,24730
WILK,23626
CHMIELEWSKI,23540
WŁODARCZYK,23497
BORKOWSKI,23093
SOKOŁOWSKI,22528
SZCZEPAŃSKI,22480
SAWICKI,22382
LIS,22131
KUCHARSKI,21896
MAZUREK,21322
KUBIAK,21253
KALINOWSKI,21162
WYSOCKI,21158
MACIEJEWSKI,21106
CZARNECKI,20976
KOŁODZIEJ,20285
KAŹMIERCZAK,20084
URBAŃSKI,20047
SOBCZAK,19173
KONIECZNY,18930
GŁOWACKI,18682
KRUPA,18510
WASILEWSKI,18457
ZAKRZEWSKI,18422
KRAJEWSKI,18348
ADAMSKI,18145
SIKORSKI,18139
MRÓZ,18052
LASKOWSKI,17954
ZIÓŁKOWSKI,17953
GAJEWSKI,17934
SZULC,17849
MAKOWSKI,17798
BARANOWSKI,17610
SZYMCZAK,17545
CZERWIŃSKI,17500
BRZEZIŃSKI,17458
KACZMARCZYK,17458
PRZYBYLSKI,17443
BŁASZCZYK,17289
ANDRZEJEWSKI,17271
BOROWSKI,17222
CIEŚLAK,17199
KANIA,16978
CHOJNACKI,16929
GÓRECKI,16905
KOZAK,16861
JANIK,16786
SZCZEPANIAK,16769
MUCHA,16451
LIPIŃSKI,16446
LESZCZYŃSKI,16439
KOZIOŁ,16336
WESOŁOWSKI,16317
KOWALEWSKI,16256
MIKOŁAJCZYK,16173
NOWACKI,16054
DOMAŃSKI,16034
JAROSZ,15746
CIESIELSKI,15706
MUSIAŁ,15681
KOWALIK,15659
ZIĘBA,15610
KOŁODZIEJCZYK,15461
MARKOWSKI,15338
KOPEĆ,15251
BRZOZOWSKI,15212
KUREK,15040
PIĄTEK,15012
ŻAK,14965
ORŁOWSKI,14902
TOMCZYK,14852
PAWLIK,14844
TOMCZAK,14819
URBANIAK,14592
KOT,14555
WAWRZYNIAK,14544
MARKIEWICZ,14428
WÓJTOWICZ,14381
WOLSKI,14281
CZAJKOWSKI,14140
POLAK,14119
KRUK,14112
STASIAK,14034
NAWROCKI,14008
SOWA,13983
STANKIEWICZ,13803
ŁUCZAK,13762
JASTRZĘBSKI,13713
KARPIŃSKI,13657
DZIEDZIC,13487
WIERZBICKI,13479
PIASECKI,13359
GAJDA,13246
KLIMEK,13188
BEDNAREK,13156
STEFAŃSKI,12994
URBAN,12947
JANICKI,12940
JÓŹWIAK,12872
BIELECKI,12830
DOMAGAŁA,12786
SOSNOWSKI,12739
MAJCHRZAK,12698
MADEJ,12686
MAJ,12560
MILEWSKI,12521
DOBROWOLSKI,12501
MAŁECKI,12465
SKIBA,12365
KOWAL,12363
LEŚNIAK,12346
ŚLIWIŃSKI,12341
SOCHA,12143
MAREK,12091
BEDNARCZYK,11938
WRONA,11932
KASPRZAK,11842
MATUSZEWSKI,11728
PAJĄK,11707
OLEJNICZAK,11687
WILCZYŃSKI,11513
RATAJCZAK,11506
ROMANOWSKI,11470
MICHALIK,11395
ŚWIĄTEK,11395
OWCZAREK,11373
KUROWSKI,11355
GRZELAK,11331
ORZECHOWSKI,11330
OLEJNIK,11209
ŁUKASIK,11166
